file,line,pattern,suggestion
lib/core/responsive/responsive_guide.md,90,MediaQuery.size.width,use context.vw
lib/core/responsive/responsive_guide.md,91,MediaQuery.size.height,use context.vh
lib/features/wallets/presentations/widgets/add_wallet_sheet.dart,123,MediaQuery.viewInsets,use context.layout.viewInsetsBottom
lib/core/responsive/responsive.dart,99,LayoutBuilder,width-only? prefer Responsive API
lib/features/transaction/presentation/pages/add_edit_transaction_screen.dart,416,LayoutBuilder,width-only? prefer Responsive API
lib/shared/widgets/section_card.dart,20,EdgeInsets magic,use context.layout.insets*/space*
lib/features/transaction/presentation/widgets/transaction_tile.dart,74,EdgeInsets magic,use context.layout.insets*/space*
lib/features/transaction/presentation/pages/add_edit_transaction_screen.dart,230,EdgeInsets magic,use context.layout.insets*/space*
lib/features/transaction/presentation/pages/add_edit_transaction_screen.dart,279,EdgeInsets magic,use context.layout.insets*/space*
lib/features/transaction/presentation/pages/add_edit_transaction_screen.dart,332,EdgeInsets magic,use context.layout.insets*/space*
lib/features/transaction/presentation/pages/add_edit_transaction_screen.dart,349,EdgeInsets magic,use context.layout.insets*/space*
lib/features/transaction/presentation/pages/add_edit_transaction_screen.dart,366,EdgeInsets magic,use context.layout.insets*/space*
lib/features/transaction/presentation/pages/add_edit_transaction_screen.dart,370,EdgeInsets magic,use context.layout.insets*/space*
lib/core/responsive/responsive_guide.md,92,EdgeInsets magic,use context.layout.insets*/space*
lib/features/wallets/presentations/widgets/add_wallet_sheet.dart,130,EdgeInsets magic,use context.layout.insets*/space*
lib/core/theme/app_theme.dart,65,EdgeInsets magic,use context.layout.insets*/space*
lib/core/theme/app_theme.dart,172,EdgeInsets magic,use context.layout.insets*/space*
